source_path,line_number,array_variable,text_cn,text_en,text_vn,text_ko,text_tr,text_ling
"E:/code/cpeject/test_mooc-clin/DirModeEx/tests/demo_proj/src/demo.c","114","var_maxtx[]","","","","","",""
,,"","var_maxtx1[]","示例4","Exam、、nple8","Exam4","Exam4","Exam4"
"E:/code/cpeject/test_mooc-clin/DirModeEx/tests/demo_proj/src/demo.c","118","var_maxtx1[]","","","","","",""
,,"","示例1","示例4","Exam、、nple8","Exam4","Exam4","Exam4"
,,"","示例2","示例4","Exam、、nple8","Exam4","Exam4","Exam4"
,,"","示例3","示例4","Exam、、nple8","Exam4","Exam4","Exam4"
,,"","示例4","示例4","Exam、、nple8","Exam4","Exam4","Exam4"
"E:/code/cpeject/test_mooc-clin/DirModeEx/tests/demo_proj/src/demo.c","125","var_maxtx3[]","","","","","",""
,,"","中文2","Exam4","Exam4","Exam4","Exam、、nple8","Exam4"
,,"","中文3","Exam4","Exam4","Exam4","Exam、、nple8","Exam4"
"E:/code/cpeject/test_mooc-clin/DirModeEx/tests/demo_proj/src/demo2.c","59","var_maxtx1[]","","","","","",""
,,"","示例1","示例4","Exam、、nple8","Exam4","Exam4","Exam4"
,,"","示例2","示例4","Exam、、nple8","Exam4","Exam4","Exam4"
,,"","示例3","示例4","Exam、、nple8","Exam4","Exam4","Exam4"
,,"","示例4","示例4","Exam、、nple8","Exam4","Exam4","Exam4"
