"variable_name","cn","en","vn","ko","turkish","russian","spanish","pt","fa","jp","ar","other"
"txt_input_points","输入点","Input Points","Điểm nhập vào","입력 포인트","Giriş Noktaları","Точки ввода","Puntos de entrada","Pontos de entrada","نقاط ورودی","入力ポイント","نقاط الإدخال","其它"
"txt_input_points","输入点","Input Points","Điểm nhập vào","입력 포인트","Giriş Noktaları","Точки ввода","Puntos de entrada","Pontos de entrada","نقاط ورودی","入力ポイント","نقاط الإدخال","其它"
"txt_input_points","输入点","Input Points","Điểm nhập vào","입력 포인트","Giriş Noktaları","Точки ввода","Puntos de entrada","Pontos de entrada","نقاط ورودی","入力ポイント","نقاط الإدخال","其它"
"txt_input_points","输入点","Input Points","Điểm nhập vào","입력 포인트","Giriş Noktaları","Точки ввода","Puntos de entrada","Pontos de entrada","نقاط ورودی","入力ポイント","نقاط الإدخال","其它"
"txt_input_points","输入点","Input Points","Điểm nhập vào","입력 포인트","Giriş Noktaları","Точки ввода","Puntos de entrada","Pontos de entrada","نقاط ورودی","入力ポイント","نقاط الإدخال","其它"
"txt_input_points","输入点","Input Points","Điểm nhập vào","입력 포인트","Giriş Noktaları","Точки ввода","Puntos de entrada","Pontos de entrada","نقاط ورودی","入力ポイント","نقاط الإدخال","其它"
"txt_input_points","输入点","Input Points","Điểm nhập vào","입력 포인트","Giriş Noktaları","Точки ввода","Puntos de entrada","Pontos de entrada","نقاط ورودی","入力ポイント","نقاط الإدخال","其它"
"txt_input_points","输入点","Input Points","Điểm nhập vào","입력 포인트","Giriş Noktaları","Точки ввода","Puntos de entrada","Pontos de entrada","نقاط ورودی","入力ポイント","نقاط الإدخال","其它"
"txt_input_points","输入点","Input Points","Điểm nhập vào","입력 포인트","Giriş Noktaları","Точки ввода","Puntos de entrada","Pontos de entrada","نقاط ورودی","入力ポイント","نقاط الإدخال","其它"
"txt_input_points","输入点","Input Points","Điểm nhập vào","입력 포인트","Giriş Noktaları","Точки ввода","Puntos de entrada","Pontos de entrada","نقاط ورودی","入力ポイント","نقاط الإدخال","其它"
"txt_input_points","输入点","Input Points","Điểm nhập vào","입력 포인트","Giriş Noktaları","Точки ввода","Puntos de entrada","Pontos de entrada","نقاط ورودی","入力ポイント","نقاط الإدخال","其它"
"txt_input_points","输入点","Input Points","Điểm nhập vào","입력 포인트","Giriş Noktaları","Точки ввода","Puntos de entrada","Pontos de entrada","نقاط ورودی","入力ポイント","نقاط الإدخال","其它"
"txt_input_points","输入点","Input Points","Điểm nhập vào","입력 포인트","Giriş Noktaları","Точки ввода","Puntos de entrada","Pontos de entrada","نقاط ورودی","入力ポイント","نقاط الإدخال","其它"
"txt_input_points","输入点","Input Points","Điểm nhập vào","입력 포인트","Giriş Noktaları","Точки ввода","Puntos de entrada","Pontos de entrada","نقاط ورودی","入力ポイント","نقاط الإدخال","其它"
"txt_input_points","输入点","Input Points","Điểm nhập vào","입력 포인트","Giriş Noktaları","Точки ввода","Puntos de entrada","Pontos de entrada","نقاط ورودی","入力ポイント","نقاط الإدخال","其它"
"txt_input_points","输入点","Input Points","Điểm nhập vào","입력 포인트","Giriş Noktaları","Точки ввода","Puntos de entrada","Pontos de entrada","نقاط ورودی","入力ポイント","نقاط الإدخال","其它"
"txt_input_points","输入点","Input Points","Điểm nhập vào","입력 포인트","Giriş Noktaları","Точки ввода","Puntos de entrada","Pontos de entrada","نقاط ورودی","入力ポイント","نقاط الإدخال","其它"
"txt_input_points","输入点","Input Points","Điểm nhập vào","입력 포인트","Giriş Noktaları","Точки ввода","Puntos de entrada","Pontos de entrada","نقاط ورودی","入力ポイント","نقاط الإدخال","其它"
"txt_input_points","输入点","Input Points","Điểm nhập vào","입력 포인트","Giriş Noktaları","Точки ввода","Puntos de entrada","Pontos de entrada","نقاط ورودی","入力ポイント","نقاط الإدخال","其它"
"txt_input_points","输入点","Input Points","Điểm nhập vào","입력 포인트","Giriş Noktaları","Точки ввода","Puntos de entrada","Pontos de entrada","نقاط ورودی","入力ポイント","نقاط الإدخال","其它"
"txt_input_points","输入点","Input Points","Điểm nhập vào","입력 포인트","Giriş Noktaları","Точки ввода","Puntos de entrada","Pontos de entrada","نقاط ورودی","入力ポイント","نقاط الإدخال","其它"
"txt_input_points","输入点","Input Points","Điểm nhập vào","입력 포인트","Giriş Noktaları","Точки ввода","Puntos de entrada","Pontos de entrada","نقاط ورودی","入力ポイント","نقاط الإدخال","其它"
"txt_input_points","输入点","Input Points","Điểm nhập vào","입력 포인트","Giriş Noktaları","Точки ввода","Puntos de entrada","Pontos de entrada","نقاط ورودی","入力ポイント","نقاط الإدخال","其它"
"txt_input_points","输入点","Input Points","Điểm nhập vào","입력 포인트","Giriş Noktaları","Точки ввода","Puntos de entrada","Pontos de entrada","نقاط ورودی","入力ポイント","نقاط الإدخال","其它"
"txt_input_points","输入点","Input Points","Điểm nhập vào","입력 포인트","Giriş Noktaları","Точки ввода","Puntos de entrada","Pontos de entrada","نقاط ورودی","入力ポイント","نقاط الإدخال","其它"
